StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0141,8,6,9
0141,8,7,5
0141,8,8,5
0142,12,1,9
0142,12,2,10
0142,12,3,9
0142,12,4,11
0142,12,5,1
0142,12,6,9
0142,12,7,7
0142,12,8,1
0142,12,9,6
0142,12,10,6
0142,12,11,1
0142,12,12,3
0147,10,1,10
0147,10,2,10
0147,10,3,8
0147,10,4,8
0147,10,5,1
0147,10,6,9
0147,10,7,8
0147,10,8,4
0147,10,9,5
0147,10,10,5
0151,9,1,10
0151,9,2,9
0151,9,3,9
0151,9,4,8
0151,9,5,2
0151,9,6,10
0151,9,7,9
0151,9,8,7
0151,9,9,6
0152,9,1,10
0152,9,2,9
0152,9,3,8
0152,9,4,9
0152,9,5,8
0152,9,6,8
0152,9,7,1
0152,9,8,6
0152,9,9,4
0155,15,1,10
0155,15,2,10
0155,15,3,9
0155,15,4,8
0155,15,5,1
0155,15,6,8
0155,15,7,8
0155,15,8,1
0155,15,9,6
0155,15,10,5
0155,15,11,1
0155,15,12,2
0155,15,13,2
0155,15,14,1
0155,15,15,1
0157,8,1,11
0157,8,2,10
0157,8,3,10
0157,8,4,8
0157,8,5,1
0157,8,6,9
0157,8,7,8
0157,8,8,5
0158,10,1,10
0158,10,2,8
0158,10,3,8
0158,10,4,8
0158,10,5,8
0158,10,6,9
0158,10,7,7
0158,10,8,6
0158,10,9,1
0158,10,10,1
0159,13,1,9
0159,13,2,10
0159,13,3,9
0159,13,4,8
0159,13,5,1
0159,13,6,1
0159,13,7,8
0159,13,8,6
0159,13,9,10
0159,13,10,7
0159,13,11,1
0159,13,12,2
0159,13,13,1
0160,10,1,9
0160,10,2,9
0160,10,3,8
0160,10,4,8
0160,10,5,1
0160,10,6,8
0160,10,7,8
0160,10,8,1
0160,10,9,6
0160,10,10,7
0163,12,1,10
0163,12,2,9
0163,12,3,1
0163,12,4,8
0163,12,5,8
0163,12,6,9
0163,12,7,8
0163,12,8,1
0163,12,9,7
0163,12,10,7
0163,12,11,2
0163,12,12,3
0165,12,1,10
0165,12,2,8
0165,12,3,1
0165,12,4,8
0165,12,5,8
0165,12,6,2
0165,12,7,8
0165,12,8,8
0165,12,9,1
0165,12,10,7
0165,12,11,1
0165,12,12,2
0169,8,1,10
0169,8,2,10
0169,8,3,10
0169,8,4,9
0169,8,5,8
0169,8,6,8
0169,8,7,8
0169,8,8,4
0173,12,1,9
0173,12,2,10
0173,12,3,10
0173,12,4,9
0173,12,5,1
0173,12,6,1
0173,12,7,11
0173,12,8,10
0173,12,9,1
0173,12,10,8
0173,12,11,1
0173,12,12,4
0175,10,1,10
0175,10,2,9
0175,10,3,8
0175,10,4,9
0175,10,5,9
0175,10,6,8
0175,10,7,1
0175,10,8,1
0175,10,9,6
0175,10,10,4
0188,7,1,9
0188,7,2,9
0188,7,3,1
0188,7,4,8
0188,7,5,6
0188,7,6,1
0188,7,7,1
0189,13,1,10
0189,13,2,9
0189,13,3,1
0189,13,4,1
0189,13,5,8
0189,13,6,7
0189,13,7,8
0189,13,8,8
0189,13,9,1
0189,13,10,1
0189,13,11,5
0189,13,12,7
0189,13,13,1
0193,14,1,9
0193,14,2,9
0193,14,3,2
0193,14,4,8
0193,14,5,9
0193,14,6,10
0193,14,7,9
0193,14,8,2
0193,14,9,7
0193,14,10,7
0193,14,11,1
0193,14,12,2
0193,14,13,2
0193,14,14,1
0197,10,1,9
0197,10,2,9
0197,10,3,9
0197,10,4,9
0197,10,5,8
0197,10,6,8
0197,10,7,1
0197,10,8,6
0197,10,9,3
0197,10,10,1
0198,10,1,9
0198,10,2,10
0198,10,3,9
0198,10,4,9
0198,10,5,9
0198,10,6,9
0198,10,7,6
0198,10,8,1
0198,10,9,6
0198,10,10,1
0200,14,1,9
0200,14,2,9
0200,14,3,8
0200,14,4,8
0200,14,5,8
0200,14,6,7
0200,14,7,2
0200,14,8,6
0200,14,9,8
0200,14,10,1
0200,14,11,2
0200,14,12,6
0200,14,13,3
0200,14,14,1
0201,11,1,9
0201,11,2,10
0201,11,3,8
0201,11,4,8
0201,11,5,2
0201,11,6,8
0201,11,7,8
0201,11,8,1
0201,11,9,1
0201,11,10,6
0201,11,11,6
0202,13,1,8
0202,13,2,9
0202,13,3,9
0202,13,4,8
0202,13,5,2
0202,13,6,9
0202,13,7,8
0202,13,8,2
0202,13,9,7
0202,13,10,8
0202,13,11,1
0202,13,12,3
0202,13,13,1
0204,13,1,10
0204,13,2,9
0204,13,3,9
0204,13,4,8
0204,13,5,2
0204,13,6,8
0204,13,7,8
0204,13,8,1
0204,13,9,2
0204,13,10,4
0204,13,11,3
0204,13,12,1
0204,13,13,1
0205,15,1,9
0205,15,2,9
0205,15,3,8
0205,15,4,8
0205,15,5,1
0205,15,6,8
0205,15,7,8
0205,15,8,2
0205,15,9,6
0205,15,10,1
0205,15,11,6
0205,15,12,2
0205,15,13,1
0205,15,14,1
0205,15,15,1
0210,9,1,10
0210,9,2,9
0210,9,3,2
0210,9,4,1
0210,9,5,6
0210,9,6,6
0210,9,7,1
0210,9,8,8
0210,9,9,5
0216,11,1,10
0216,11,2,10
0216,11,3,9
0216,11,4,8
0216,11,5,8
0216,11,6,9
0216,11,7,7
0216,11,8,2
0216,11,9,1
0216,11,10,6
0216,11,11,1
0217,14,1,9
0217,14,2,10
0217,14,3,1
0217,14,4,8
0217,14,5,2
0217,14,6,1
0217,14,7,8
0217,14,8,8
0217,14,9,2
0217,14,10,9
0217,14,11,6
0217,14,12,1
0217,14,13,7
0217,14,14,1
0221,9,1,9
0221,9,2,9
0221,9,3,1
0221,9,4,1
0221,9,5,8
0221,9,6,7
0221,9,7,1
0221,9,8,6
0221,9,9,1
0228,13,1,10
0228,13,2,9
0228,13,3,9
0228,13,4,9
0228,13,5,1
0228,13,6,1
0228,13,7,9
0228,13,8,9
0228,13,9,1
0228,13,10,6
0228,13,11,3
0228,13,12,1
0228,13,13,2
0229,11,1,10
0229,11,2,9
0229,11,3,9
0229,11,4,8
0229,11,5,1
0229,11,6,9
0229,11,7,9
0229,11,8,8
0229,11,9,7
0229,11,10,1
0229,11,11,1
0230,11,1,9
0230,11,2,9
0230,11,3,8
0230,11,4,8
0230,11,5,8
0230,11,6,8
0230,11,7,1
0230,11,8,1
0230,11,9,8
0230,11,10,1
0230,11,11,1
0231,13,1,9
0231,13,2,8
0231,13,3,1
0231,13,4,7
0231,13,5,7
0231,13,6,1
0231,13,7,8
0231,13,8,8
0231,13,9,1
0231,13,10,8
0231,13,11,6
0231,13,12,1
0231,13,13,3
0239,10,1,10
0239,10,2,9
0239,10,3,2
0239,10,4,9
0239,10,5,8
0239,10,6,8
0239,10,7,6
0239,10,8,7
0239,10,9,5
0239,10,10,1
0242,12,1,9
0242,12,2,10
0242,12,3,8
0242,12,4,8
0242,12,5,10
0242,12,6,8
0242,12,7,8
0242,12,8,1
0242,12,9,7
0242,12,10,7
0242,12,11,1
0242,12,12,3
0247,8,1,11
0247,8,2,8
0247,8,3,9
0247,8,4,9
0247,8,5,8
0247,8,6,9
0247,8,7,5
0247,8,8,4
0249,13,1,10
0249,13,2,10
0249,13,3,9
0249,13,4,8
0249,13,5,1
0249,13,6,1
0249,13,7,8
0249,13,8,8
0249,13,9,1
0249,13,10,7
0249,13,11,4
0249,13,12,1
0249,13,13,1
0252,12,1,10
0252,12,2,9
0252,12,3,8
0252,12,4,6
0252,12,5,2
0252,12,6,9
0252,12,7,8
0252,12,8,2
0252,12,9,6
0252,12,10,6
0252,12,11,1
0252,12,12,1
0253,10,1,9
0253,10,2,9
0253,10,3,9
0253,10,4,9
0253,10,5,10
0253,10,6,1
0253,10,7,8
0253,10,8,2
0253,10,9,7
0253,10,10,7
