Year, Semester, CourseCode, CourseName, TotalStudents, StudentsTaken, Rate
2002,1,GEK10001,채플(한국어) 1,115,59,51.3%
2002,2,GEK10001,채플(한국어) 1,100,1,1.0%
2003,1,GEK10001,채플(한국어) 1,125,50,40.0%
2004,1,GEK10001,채플(한국어) 1,96,6,6.3%
2006,1,GEK10001,채플(한국어) 1,92,5,5.4%
2007,1,GEK10001,채플(한국어) 1,112,6,5.4%
